gn:id,gp:id_factual,gp:id_blackmad,reason
2858773,682442,12623123,mismatch
3009978,597783,29329797,mismatch
2812092,12623920,704878,mismatch
2975300,621600,20202804,mismatch
3141327,863127,863126,mismatch
2890481,665971,12624219,mismatch
3661993,453318,461372,mismatch
173667,1941163,1947156,mismatch
5958172,3986,23388949,mismatch
790848,482467,482043,mismatch
5294295,55820563,23506012,mismatch
6544447,12632751,22528047,mismatch
2864936,12632753,678540,mismatch
3131137,751233,55965819,mismatch
4490984,55843715,55843594,mismatch
685823,56121209,866628,mismatch
1607600,1225586,55947907,mismatch
6359907,778374,12694950,mismatch
2834196,693967,12634645,mismatch
3936570,419585,420355,mismatch
3695929,419586,420356,mismatch
7151012,55833177,55830293,mismatch
2736761,745107,745101,mismatch
140501,2220227,2254443,mismatch
140501,2220228,2254443,mismatch
140501,2220229,2254443,mismatch
2865086,12623190,678500,mismatch
3514027,151739,151740,mismatch
5410410,55815312,23504884,mismatch
2888411,667076,12635397,mismatch
3071532,12604743,793156,mismatch
2967043,20071484,559431,mismatch
2963151,20072488,561425,mismatch
6053154,29373019,8820,mismatch
4885935,55822816,55831045,mismatch
2913177,12622937,656125,mismatch
2911940,12635072,656664,mismatch
2658073,12684597,784634,mismatch
7285275,15001076,12685297,mismatch
5383364,55815585,55813610,mismatch
3517426,146241,55905209,mismatch
3118921,764714,764716,mismatch
2740099,740392,740393,mismatch
1308464,56120923,1017662,mismatch
120074,2236429,2228377,mismatch
2815739,12627255,703086,mismatch
3123599,759094,12692218,mismatch
3068445,795919,24930670,mismatch
3072248,792492,12605848,mismatch
1689486,1191005,1191004,mismatch
3947431,418642,420155,mismatch
2934499,12623485,645976,mismatch
3490870,108663,108664,mismatch
3490871,108665,108661,mismatch
3058832,29401152,820889,mismatch
55416,1428032,1428034,mismatch
1512703,7224111,28752637,mismatch
2977877,626089,626088,mismatch
124489,2238989,2254923,mismatch
3946826,420492,419445,mismatch
4735075,55827669,55826904,mismatch
3388442,450595,436659,mismatch
3940917,402949,420653,mismatch
3063548,800260,12606615,mismatch
3515956,148787,148786,mismatch
4233835,55830740,55830400,mismatch
4915597,55830748,55831921,mismatch
5050011,55822295,55821336,mismatch
4893240,55831767,55830365,mismatch
209863,1476151,1476156,mismatch
1609476,56123015,1226010,mismatch
1718153,56121332,1199062,mismatch
4692513,55828360,23506138,mismatch
4706361,55828368,55828102,mismatch
7209939,55816101,55816008,mismatch
1523149,2264482,2261220,mismatch
126628,2234624,2219657,mismatch
118826,2245549,2245601,mismatch
3455602,460326,442304,mismatch
3692225,420543,419261,mismatch
3692149,420548,419269,mismatch
3929147,420549,420550,mismatch
4887084,55830888,55831925,mismatch
7130423,55832419,55832026,mismatch
5120514,23506375,55835436,mismatch
3931538,412156,420451,mismatch
312001,55966544,2344210,mismatch
7285569,12684865,785041,mismatch
8096685,55828945,55828617,mismatch
5009696,55828946,55829308,mismatch
6957079,55898530,55913694,mismatch
5398501,55815962,55813508,mismatch
2933608,646426,12635286,mismatch
3123621,12691769,759043,mismatch
3532276,55911718,113371,mismatch
3226277,559849,20074374,mismatch
2966367,559846,559847,mismatch
2965727,560460,20072948,mismatch
2518277,12690184,759512,mismatch
3703354,26793375,159400,mismatch
1516788,2265067,2263843,mismatch
1519844,2264556,2264806,mismatch
2966780,559568,20073014,mismatch
2030218,2265935,2266580,mismatch
3935098,419024,420387,mismatch
2645575,25018,25019,mismatch
2850980,12636304,686580,mismatch
2645575,25017,25019,mismatch
2645575,25016,25019,mismatch
2645579,25014,25011,mismatch
3034162,578714,578713,mismatch
1574241,56124996,1252496,mismatch
7155533,55828571,55828618,mismatch
6540284,12681666,20121740,mismatch
3181842,711159,29342958,mismatch
5391655,55815250,55814762,mismatch
3384986,456601,56125247,mismatch
8161983,28737986,28737985,mismatch
8162365,28737982,28737981,mismatch
119562,2255052,2244812,mismatch
265328,945327,945328,mismatch
6356695,12691541,22661197,mismatch
617609,481086,481085,mismatch
3621304,26809297,59795,mismatch
4898950,55830493,55830958,mismatch
3697634,418816,420282,mismatch
5258924,23496597,55832893,mismatch
2655027,13478,13476,mismatch
2029886,2266746,2266062,mismatch
2950287,638171,12635412,mismatch
258938,952560,954508,mismatch
8155078,28737322,28737321,mismatch
6536015,12676340,20139209,mismatch
3001367,605960,605966,mismatch
3001367,605963,605966,mismatch
5371945,55813445,55815680,mismatch
5380111,55813441,55814152,mismatch
4014266,55921066,116043,mismatch
127382,2254820,2236023,mismatch
127014,2254823,2236164,mismatch
3119660,764312,764311,mismatch
3068857,12606787,795559,mismatch
2823788,12625784,698718,mismatch
3559235,62505,62504,mismatch
3559235,62502,62504,mismatch
3162079,55949155,856992,mismatch
2849118,687493,12623198,mismatch
2849119,687495,12623502,mismatch
143576,2218237,2216737,mismatch
5542046,55819317,55819614,mismatch
1605613,1200250,1226186,mismatch
134962,2231618,2241329,mismatch
3058535,29401914,821202,mismatch
3008470,598881,598882,mismatch
2827400,12622851,697140,mismatch
263227,948154,948331,mismatch
2962560,20074439,561722,mismatch
2962942,20074435,561537,mismatch
7130587,55818814,55819725,mismatch
2962670,20074437,561668,mismatch
3535083,68384,68385,mismatch
2802275,967118,967119,mismatch
2961777,20072815,562094,mismatch
123802,2239903,2239904,mismatch
5335557,55813592,55812751,mismatch
110832,2251416,2255251,mismatch
4502954,2388187,2446995,mismatch
2789584,975259,969324,mismatch
7118366,55821125,23506291,mismatch
2821963,699613,699612,mismatch
